# time, flux, model, err
1.293644585530273616e-02 9.997870631027336863e-01 9.999990264370498538e-01 1.534523195430139775e-04
1.297844729560893029e-02 9.999045176301669668e-01 9.999990174225797945e-01 1.534544369227060754e-04
1.302044875046703964e-02 9.997227298541577767e-01 9.999990084081064046e-01 1.534523195430139775e-04
1.306245019077323377e-02 9.999150944820163200e-01 9.999989993936362342e-01 1.534523195430139775e-04
1.310445163835538551e-02 9.999641219714460183e-01 9.999989903791643986e-01 1.535275210472848088e-04
1.314645308593753725e-02 9.999133923292129467e-01 9.999989813646926740e-01 1.534704405049436174e-04
1.318845452624373138e-02 9.994623893894645228e-01 9.999989723502223926e-01 1.534523195430139775e-04
1.323045598110184073e-02 1.000158995166355425e+00 9.999989633357492247e-01 1.534523195430139775e-04
1.327245742140803486e-02 1.000007587652473218e+00 9.999989543212788323e-01 1.534576148514941996e-04
1.331445887626614422e-02 9.998026574662410848e-01 9.999989453068056644e-01 1.534523195430139775e-04
1.335646031657233834e-02 1.000050031873814360e+00 9.999989362923352720e-01 1.534523195430139775e-04
1.339846177143044770e-02 9.999841628421093365e-01 9.999989272778621041e-01 1.534533645360662188e-04
1.344046321173664182e-02 1.000211953506625617e+00 9.999989182633918228e-01 1.534530058307840802e-04
1.348246466659475118e-02 1.000040802244142935e+00 9.999989092489183218e-01 1.534523195430139775e-04
1.352446611417690292e-02 1.000040286091805397e+00 9.999989002344467082e-01 1.534523195430139775e-04
1.356646756175905466e-02 9.998617179738406024e-01 9.999988912199750946e-01 1.534581807951933036e-04
1.360846900934120640e-02 9.998378486789740727e-01 9.999988822055031479e-01 1.534546238693456949e-04
1.365047044964740053e-02 9.998916268977073862e-01 9.999988731910330886e-01 1.534523195430139775e-04
1.369247190450550988e-02 1.000149818461468110e+00 9.999988641765595876e-01 1.534523195430139775e-04
1.373447334481170401e-02 1.000020654581071700e+00 9.999988551620893062e-01 1.534523195430139775e-04
1.377647479966981336e-02 9.998369360322640897e-01 9.999988461476161383e-01 1.534523195430139775e-04
1.381847623997600749e-02 1.000138472885707230e+00 9.999988371331459680e-01 1.534523195430139775e-04
1.386047769483411685e-02 9.999593919939365749e-01 9.999988281186725780e-01 1.534891450213760457e-04
1.390247913514031097e-02 9.999330992010119212e-01 9.999988191042021857e-01 1.534523195430139775e-04
1.394448058272246271e-02 9.998950458674161768e-01 9.999988100897305721e-01 1.534523195430139775e-04
1.398648203030461445e-02 1.000010084661422161e+00 9.999988010752589584e-01 1.535261827015196238e-04
1.402848347061080858e-02 9.999261105442711628e-01 9.999987920607885661e-01 1.534523195430139775e-04
1.407048492546891794e-02 1.000217640502476746e+00 9.999987830463151761e-01 1.534523195430139775e-04
1.411248636577511206e-02 9.999825319933099976e-01 9.999987740318450058e-01 1.534618449704118091e-04
1.415448782790917903e-02 9.998402483130394147e-01 9.999987650173700615e-01 1.534523195430139775e-04
1.419648926821537316e-02 9.998566839890941083e-01 9.999987560029000022e-01 1.535056052115490500e-04
1.423849072307348251e-02 1.000183981035734471e+00 9.999987469884266122e-01 1.534523195430139775e-04
1.428049216337967664e-02 1.000086511987910765e+00 9.999987379739562199e-01 1.534523195430139775e-04
1.432249361096182838e-02 9.999143333472587658e-01 9.999987289594846063e-01 1.534523195430139775e-04
1.436449505854398012e-02 1.000276161753219872e+00 9.999987199450128816e-01 1.534523195430139775e-04
1.440649650612613186e-02 1.000012878168955677e+00 9.999987109305410460e-01 1.534523195430139775e-04
1.444849795370828360e-02 9.999499032234463458e-01 9.999987019160692103e-01 1.534523195430139775e-04
1.449049939401447773e-02 9.998978654229829788e-01 9.999986929015990400e-01 1.534523195430139775e-04
1.453250084887258708e-02 9.999263515792923274e-01 9.999986838871258721e-01 1.534977068535576172e-04
1.457450228917878121e-02 9.996428140876281176e-01 9.999986748726554797e-01 1.534543200830164322e-04
1.461650374403689057e-02 9.999119492308369272e-01 9.999986658581820897e-01 1.534523195430139775e-04
1.465850518434308469e-02 1.000001949663662515e+00 9.999986568437120305e-01 1.534523195430139775e-04
1.470050663920119405e-02 1.000243068747119768e+00 9.999986478292387515e-01 1.534523195430139775e-04
1.474250807950738817e-02 9.999720026499270276e-01 9.999986388147684702e-01 1.534523195430139775e-04
1.478450953436549753e-02 9.998686107700797132e-01 9.999986298002950802e-01 1.534789722267731517e-04
